Id,Category,Name,Description,ReleaseDate
0,Mystery,December 1963 (Oh What a Night),Solum vicinus bestia animus conqueror ademptio quisquam calamitas. Advenio tabesco charisma aestas. Spargo tergum succurro acerbitas infit crur bestia cibo solum. Beatae voco odit amiculum minus absque. Torqueo solium pecus arma.,Wed Oct 09 1974 07:09:40 GMT-0400 (Eastern Daylight Time)
1,War,People Got to Be Free,Cumque turbo anser unus degero benevolentia utrimque colligo. Valeo agnitio comitatus caput. Triumphus terreo spargo degusto. Patrocinor officia tabella. Audentia aiunt sponte ascisco denuo sunt quos cubitum.,Fri Sep 29 1989 17:38:29 GMT-0400 (Eastern Daylight Time)
2,Animation,Band of Gold,Totus viridis ullus verecundia compono cupiditate tego antepono campana. Consectetur avaritia accusantium concedo adfectus corroboro aggredior crux. Ratione atqui ipsa. Coerceo delectus verumtamen coerceo quod supplanto. Decor cotidie cohors aeneus beatus veniam voluptate ciminatio soluta.,Mon Apr 11 1949 03:30:40 GMT-0500 (Eastern Daylight Time)
3,Independent,Instant Karma,Astrum labore accusator eum admoneo decretum veritas. Demum spiculum suasoria molestias depulso. Apostolus velit curis acsi curso architecto aer cresco. Accusator adsidue blanditiis surculus terra canonicus. Doloremque sollers valeo solum charisma adversus adopto tempus.,Tue Jul 09 1985 07:41:29 GMT-0400 (Eastern Daylight Time)
4,War,I Can't Help Myself (Sugar Pie,Velut appello aeternus talis aperiam aeneus cubicularis credo victoria. Audentia casus appositus utrimque antea carmen claudeo. Provident aeger crepusculum minima succedo vindico careo cultura coniecto repudiandae. Tyrannus uxor trans officia. Teneo caveo turba vicissitudo.,Thu Sep 11 1980 07:09:50 GMT-0400 (Eastern Daylight Time)
5,TV Movie,Colors of the Wind,Amoveo bene vitium quidem crustulum cum verto appello bibo eum. Aeneus sodalitas caritas causa aperio stillicidium vicissitudo sapiente. Arma creo ullus capillus. Ulterius tutis textor taedium sint sollers bonus. Vitae desparatus spiritus ut degenero solio trepide cupiditate speciosus.,Thu Aug 27 2020 18:08:21 GMT-0400 (Eastern Daylight Time)
6,Thriller,Tequila,Rem adhuc censura. Absconditus vester utroque comis tergo somniculosus. Ustulo brevis cura. Viriliter animadverto ex usus asper aeger. Arma abeo vulpes comitatus paulatim decerno corrigo.,Fri Aug 12 1927 06:19:29 GMT-0400 (Eastern Daylight Time)
7,Science Fiction,Strawberry Fields Forever,Creptio solvo clibanus valeo. Urbs pel suffoco complectus ager tabesco celo clamo aggero. Dolorum coerceo ducimus crudelis aegre vorago. Cresco universe textor acidus crepusculum aspernatur derideo culpo in animi. Tenuis voluptates bene audacia depono nemo teneo angulus.,Sat Dec 25 1982 10:28:16 GMT-0500 (Eastern Standard Time)
8,Thriller,Leader of the Pack,Deduco textus causa tantum cognomen adimpleo quasi crur. Comburo apparatus aetas via officiis sint id attonbitus pauci terror. Demens rerum quisquam qui vulticulus ea volva. Excepturi certus cilicium. Uredo adsuesco tubineus.,Fri Oct 23 2015 19:26:16 GMT-0400 (Eastern Daylight Time)
9,Adventure,Nothing Compares 2 U,Victus arx vicissitudo. Cinis decretum concedo careo ocer aranea. Quos deleo asper sono coaegresco assentator subseco summopere caput avarus. Suspendo creber distinctio bestia vel. Adsuesco aperte tamisium.,Thu Jan 11 2007 01:34:08 GMT-0500 (Eastern Standard Time)
