Id,Category,Name,Description,ReleaseDate
0,Documentary,Paper Planes,Celebrer ater nulla arcesso tolero aestivus accusator considero suggero villa. Cohors umbra talio depromo spargo supra ago aufero. Terreo aro valde voluptate utique. Vespillo accusantium convoco molestiae subnecto deleo vulgo contigo canis. Denego maxime depromo surgo omnis similique dicta umquam altus.,Mon Mar 17 2008 11:08:29 GMT-0400 (Eastern Daylight Time)
1,Crime,Spirit in the Sky,Adimpleo volubilis assentator denego tam delectus ambulo caelestis clibanus spectaculum. Catena derideo cui clarus brevis vix terminatio veniam. Eius consuasor asper tonsor virtus illo alienus cauda aro. Animadverto laboriosam crur laboriosam vis comptus. Quis ultra circumvenio numquam culpa caterva cometes adimpleo cubo vorax.,Mon Oct 07 2002 20:07:56 GMT-0400 (Eastern Daylight Time)
2,Animation,Money For Nothing,Absens arbitro brevis. Quis adinventitias sursum ustulo ubi confugo. Sublime ventus acceptus deludo. Tot molestias cenaculum. Adulatio reprehenderit decet commodi.,Tue Apr 24 2007 19:34:22 GMT-0400 (Eastern Daylight Time)
3,Romance,Jack & Diane,Virgo aureus sopor. Asperiores cuius torqueo adversus combibo aureus calculus damnatio. Apostolus cognatus virgo texo ullam contra amo anser. Inflammatio vivo tergo ara deduco vorax. Solum abduco vetus succedo absum sulum absum.,Sun Dec 22 1935 19:13:23 GMT-0500 (Eastern Standard Time)
4,Western,Twist & Shout,Quae conor ea quae civitas suffragium titulus utroque. Tardus censura corroboro angustus apud cubicularis addo. Vesper aureus tam voluptatum coma illum. Confido creator carcer. Amita vulticulus victus.,Sat Mar 01 1941 02:15:11 GMT-0400 (Eastern Standard Time)
5,Music,West End Girls,Ascisco validus teneo ocer abscido vomito capio. Venio vesper decens carus quod coruscus catena aestus solus. Audax solium approbo. Atavus enim tibi. Defluo velociter tempora bos volup celer sono audio illo arx.,Tue Nov 15 1949 07:58:15 GMT-0400 (Eastern Standard Time)
6,Action,Music,Curo curso quisquam versus cribro vilitas vulnus uterque thema. Balbus curvo amoveo. Territo absorbeo ustulo cibo aveho via. Arcus cribro brevis vita tyrannus antiquus patruus valde. Alveus contego adfectus complectus balbus quidem absque.,Fri Dec 01 1950 10:44:14 GMT-0500 (Eastern Standard Time)
7,Science Fiction,Billie Jean,Uxor defungo angustus coepi. Umerus capillus trado somniculosus. Admoneo expedita causa amitto dicta maxime ago audax decet nihil. Tollo decretum abduco coniecto tumultus vacuus defero virgo ut adsum. Volo appello adstringo suffoco supra claudeo minus.,Wed Sep 27 2000 02:14:01 GMT-0400 (Eastern Daylight Time)
8,Classic,If You Leave Me Now,Contigo eveniet adopto blanditiis. Ara voluntarius ultio compono constans. Culpa odio delinquo. Cauda admoveo complectus comptus vacuus crapula suus. Alius conicio dens paens cognomen adfectus corrigo vinum calamitas.,Sun May 15 1983 10:55:12 GMT-0400 (Eastern Daylight Time)
9,War,Live & Let Die,Demum carbo carmen desolo. Solum utrimque abstergo adeptio. Ipsum ultio valetudo accusamus amo tantum. Necessitatibus amissio alias aurum colo usitas conatus depopulo. Ultra timor strenuus volo aer aliquid.,Sat Sep 18 1937 17:55:13 GMT-0400 (Eastern Daylight Time)
10,Foreign,Get Down Tonight,Adhuc coma tonsor thesaurus carus. Cibus alius tricesimus sublime conatus antiquus vinculum cervus magnam bonus. Desidero repellendus censura adiuvo alii adulatio arbitro blandior alveus celebrer. Architecto tredecim considero. Sunt viriliter civis verus teres maxime.,Sun Jun 27 1948 10:55:16 GMT-0400 (Eastern Daylight Time)
